branch_id	sub_tree	type
B255	Oreamnos_americanus	terminal
B496	(Neomonachus_schauinslandi:B204,(Leptonychotes_weddellii:B205,(Mirounga_angustirostris:B206,Mirounga_leonina:B207):B494):B495)	internal
B152	Phataginus_tricuspis	terminal
B431	(Rousettus_aegyptiacus:B134,Eidolon_dupreanum:B135)	internal
B516	(Rangifer_tarandus_granti:B226,(Odocoileus_hemionus_hemionus:B227,Odocoileus_virginianus:B228):B515)	internal
B554	(Tragelaphus_strepsiceros:B263,((Bos_frontalis:B264,Bos_mutus:B265):B551,(Bubalus_bubalis:B266,Syncerus_caffer:B267):B552):B553)	internal
B455	(Panthera_onca:B162,(Panthera_leo:B163,Panthera_pardus:B164):B454)	internal
B217	Tragulus_javanicus	terminal
B61	Microtus_agrestis	terminal
B553	((Bos_frontalis:B264,Bos_mutus:B265):B551,(Bubalus_bubalis:B266,Syncerus_caffer:B267):B552)	internal
B254	Hippotragus_niger_niger	terminal
B8	Echinops_telfairi	terminal
B415	(Scalopus_aquaticus:B117,Talpa_occidentalis:B118)	internal
B208	Erignathus_barbatus	terminal
B85	Pithecia_pithecia	terminal
B301	Globicephala_melas	terminal
B472	((Helarctos_malayanus:B177,Ursus_thibetanus_thibetanus:B178):B469,(Ursus_americanus:B179,(Ursus_arctos_horribilis:B180,Ursus_maritimus:B181):B470):B471)	internal
B108	Cercocebus_atys	terminal
B439	(Equus_burchellii_boehmi:B142,Equus_zebra:B143)	internal
B145	Tapirus_terrestris	terminal
B228	Odocoileus_virginianus	terminal
B416	(Solenodon_paradoxus:B116,(Scalopus_aquaticus:B117,Talpa_occidentalis:B118):B415)	internal
B171	Mungos_mungo	terminal
B302	Peponocephala_electra	terminal
B521	(Przewalskium_albirostris:B234,Cervus_hanglu_yarkandensis:B235)	internal
B519	(Muntiacus_crinifrons:B230,Muntiacus_muntjak:B231)	internal
B528	(Eudorcas_thomsonii:B242,Nanger_granti:B243)	internal
