branch_id	branch_type	n_shared_genes	n_fix_non_na	n_free_non_na	support_percent	discordance_percent
B1	terminal	5	5	5	100.0000000000	0.0000000000
B2	terminal	5	4	4	100.0000000000	0.0000000000
B3	terminal	5	4	4	100.0000000000	0.0000000000
B4	terminal	5	4	4	100.0000000000	0.0000000000
B5	terminal	5	5	5	100.0000000000	0.0000000000
B6	terminal	5	5	5	100.0000000000	0.0000000000
B7	terminal	5	5	5	100.0000000000	0.0000000000
B8	terminal	5	5	5	100.0000000000	0.0000000000
B9	terminal	5	4	4	100.0000000000	0.0000000000
B10	terminal	5	4	4	100.0000000000	0.0000000000
B11	terminal	5	3	3	100.0000000000	0.0000000000
B12	terminal	5	3	3	100.0000000000	0.0000000000
B13	terminal	5	5	5	100.0000000000	0.0000000000
B14	terminal	5	1	1	100.0000000000	0.0000000000
B15	terminal	5	1	1	100.0000000000	0.0000000000
B16	terminal	5	5	5	100.0000000000	0.0000000000
B17	terminal	5	5	5	100.0000000000	0.0000000000
B18	terminal	5	5	5	100.0000000000	0.0000000000
B19	terminal	5	4	4	100.0000000000	0.0000000000
B20	terminal	5	4	4	100.0000000000	0.0000000000
B21	terminal	5	4	4	100.0000000000	0.0000000000
B22	terminal	5	4	4	100.0000000000	0.0000000000
B23	terminal	5	5	5	100.0000000000	0.0000000000
B24	terminal	5	5	5	100.0000000000	0.0000000000
B25	terminal	5	5	5	100.0000000000	0.0000000000
B26	terminal	5	5	5	100.0000000000	0.0000000000
B27	terminal	5	5	5	100.0000000000	0.0000000000
B28	terminal	5	3	3	100.0000000000	0.0000000000
B29	terminal	5	3	3	100.0000000000	0.0000000000
B30	terminal	5	5	5	100.0000000000	0.0000000000
B31	terminal	5	5	5	100.0000000000	0.0000000000
B32	terminal	5	5	5	100.0000000000	0.0000000000
B33	terminal	5	3	3	100.0000000000	0.0000000000
B34	terminal	5	3	3	100.0000000000	0.0000000000
B35	terminal	5	4	4	100.0000000000	0.0000000000
B36	terminal	5	4	4	100.0000000000	0.0000000000
B37	terminal	5	4	4	100.0000000000	0.0000000000
B38	terminal	5	4	4	100.0000000000	0.0000000000
B39	terminal	5	4	4	100.0000000000	0.0000000000
B40	terminal	5	4	4	100.0000000000	0.0000000000
B41	terminal	5	4	4	100.0000000000	0.0000000000
B42	terminal	5	3	3	100.0000000000	0.0000000000
B43	terminal	5	5	5	100.0000000000	0.0000000000
B44	terminal	5	3	3	100.0000000000	0.0000000000
B45	terminal	5	3	3	100.0000000000	0.0000000000
B46	terminal	5	3	3	100.0000000000	0.0000000000
B47	terminal	5	3	3	100.0000000000	0.0000000000
B48	terminal	5	5	5	100.0000000000	0.0000000000
B49	terminal	5	4	4	100.0000000000	0.0000000000
B50	terminal	5	4	4	100.0000000000	0.0000000000
B51	terminal	5	5	5	100.0000000000	0.0000000000
B52	terminal	5	5	5	100.0000000000	0.0000000000
B53	terminal	5	4	4	100.0000000000	0.0000000000
B54	terminal	5	4	4	100.0000000000	0.0000000000
B55	terminal	5	5	5	100.0000000000	0.0000000000
B56	terminal	5	5	5	100.0000000000	0.0000000000
B57	terminal	5	4	4	100.0000000000	0.0000000000
B58	terminal	5	4	4	100.0000000000	0.0000000000
B59	terminal	5	5	5	100.0000000000	0.0000000000
B60	terminal	5	5	5	100.0000000000	0.0000000000
B61	terminal	5	5	5	100.0000000000	0.0000000000
B62	terminal	5	5	5	100.0000000000	0.0000000000
B63	terminal	5	5	5	100.0000000000	0.0000000000
B64	terminal	5	4	4	100.0000000000	0.0000000000
B65	terminal	5	4	4	100.0000000000	0.0000000000
B66	terminal	5	4	4	100.0000000000	0.0000000000
B67	terminal	5	4	4	100.0000000000	0.0000000000
B68	terminal	5	4	4	100.0000000000	0.0000000000
B69	terminal	5	3	3	100.0000000000	0.0000000000
B70	terminal	5	5	5	100.0000000000	0.0000000000
B71	terminal	5	3	3	100.0000000000	0.0000000000
B72	terminal	5	3	3	100.0000000000	0.0000000000
B73	terminal	5	5	5	100.0000000000	0.0000000000
B74	terminal	5	5	5	100.0000000000	0.0000000000
B75	terminal	5	5	5	100.0000000000	0.0000000000
B76	terminal	5	5	5	100.0000000000	0.0000000000
B77	terminal	5	5	5	100.0000000000	0.0000000000
B78	terminal	5	4	4	100.0000000000	0.0000000000
B79	terminal	5	4	4	100.0000000000	0.0000000000
B80	terminal	5	5	5	100.0000000000	0.0000000000
B81	terminal	5	5	5	100.0000000000	0.0000000000
B82	terminal	5	5	5	100.0000000000	0.0000000000
B83	terminal	5	5	5	100.0000000000	0.0000000000
B84	terminal	5	4	4	100.0000000000	0.0000000000
B85	terminal	5	4	4	100.0000000000	0.0000000000
B86	terminal	5	4	4	100.0000000000	0.0000000000
B87	terminal	5	5	5	100.0000000000	0.0000000000
B88	terminal	5	5	5	100.0000000000	0.0000000000
B89	terminal	5	5	5	100.0000000000	0.0000000000
B90	terminal	5	5	5	100.0000000000	0.0000000000
B91	terminal	5	5	5	100.0000000000	0.0000000000
B92	terminal	5	5	5	100.0000000000	0.0000000000
B93	terminal	5	5	5	100.0000000000	0.0000000000
B94	terminal	5	5	5	100.0000000000	0.0000000000
B95	terminal	5	5	5	100.0000000000	0.0000000000
B96	terminal	5	5	5	100.0000000000	0.0000000000
B97	terminal	5	5	5	100.0000000000	0.0000000000
B98	terminal	5	5	5	100.0000000000	0.0000000000
B99	terminal	5	5	5	100.0000000000	0.0000000000
B100	terminal	5	5	5	100.0000000000	0.0000000000
B101	terminal	5	5	5	100.0000000000	0.0000000000
B102	terminal	5	5	5	100.0000000000	0.0000000000
B103	terminal	5	5	5	100.0000000000	0.0000000000
B104	terminal	5	5	5	100.0000000000	0.0000000000
B105	terminal	5	5	5	100.0000000000	0.0000000000
B106	terminal	5	4	4	100.0000000000	0.0000000000
B107	terminal	5	4	4	100.0000000000	0.0000000000
B108	terminal	5	5	5	100.0000000000	0.0000000000
B109	terminal	5	5	5	100.0000000000	0.0000000000
B110	terminal	5	5	5	100.0000000000	0.0000000000
B111	terminal	5	5	5	100.0000000000	0.0000000000
B112	terminal	5	5	5	100.0000000000	0.0000000000
B113	terminal	5	5	5	100.0000000000	0.0000000000
B114	terminal	5	5	5	100.0000000000	0.0000000000
B115	terminal	5	5	5	100.0000000000	0.0000000000
B116	terminal	5	4	4	100.0000000000	0.0000000000
B117	terminal	5	4	4	100.0000000000	0.0000000000
B118	terminal	5	4	4	100.0000000000	0.0000000000
B119	terminal	5	5	5	100.0000000000	0.0000000000
B120	terminal	5	5	5	100.0000000000	0.0000000000
B121	terminal	5	5	5	100.0000000000	0.0000000000
B122	terminal	5	5	5	100.0000000000	0.0000000000
B123	terminal	5	5	5	100.0000000000	0.0000000000
B124	terminal	5	5	5	100.0000000000	0.0000000000
B125	terminal	5	5	5	100.0000000000	0.0000000000
B126	terminal	5	4	4	100.0000000000	0.0000000000
B127	terminal	5	5	5	100.0000000000	0.0000000000
B128	terminal	5	4	4	100.0000000000	0.0000000000
B129	terminal	5	4	4	100.0000000000	0.0000000000
B130	terminal	5	5	5	100.0000000000	0.0000000000
B131	terminal	5	5	5	100.0000000000	0.0000000000
B132	terminal	5	4	4	100.0000000000	0.0000000000
B133	terminal	5	4	4	100.0000000000	0.0000000000
B134	terminal	5	4	4	100.0000000000	0.0000000000
B135	terminal	5	4	4	100.0000000000	0.0000000000
B136	terminal	5	4	4	100.0000000000	0.0000000000
B137	terminal	5	4	4	100.0000000000	0.0000000000
B138	terminal	5	5	5	100.0000000000	0.0000000000
B139	terminal	5	5	5	100.0000000000	0.0000000000
B140	terminal	5	4	4	100.0000000000	0.0000000000
B141	terminal	5	4	4	100.0000000000	0.0000000000
B142	terminal	5	5	5	100.0000000000	0.0000000000
B143	terminal	5	5	5	100.0000000000	0.0000000000
B144	terminal	5	4	4	100.0000000000	0.0000000000
B145	terminal	5	4	4	100.0000000000	0.0000000000
B146	terminal	5	5	5	100.0000000000	0.0000000000
B147	terminal	5	5	5	100.0000000000	0.0000000000
B148	terminal	5	5	5	100.0000000000	0.0000000000
B149	terminal	5	5	5	100.0000000000	0.0000000000
B150	terminal	5	4	4	100.0000000000	0.0000000000
B151	terminal	5	4	4	100.0000000000	0.0000000000
B152	terminal	5	4	4	100.0000000000	0.0000000000
B153	terminal	5	4	4	100.0000000000	0.0000000000
B154	terminal	5	5	5	100.0000000000	0.0000000000
B155	terminal	5	5	5	100.0000000000	0.0000000000
B156	terminal	5	5	5	100.0000000000	0.0000000000
B157	terminal	5	5	5	100.0000000000	0.0000000000
B158	terminal	5	5	5	100.0000000000	0.0000000000
B159	terminal	5	5	5	100.0000000000	0.0000000000
B160	terminal	5	5	5	100.0000000000	0.0000000000
B161	terminal	5	5	5	100.0000000000	0.0000000000
B162	terminal	5	5	5	100.0000000000	0.0000000000
B163	terminal	5	5	5	100.0000000000	0.0000000000
B164	terminal	5	5	5	100.0000000000	0.0000000000
B165	terminal	5	4	4	100.0000000000	0.0000000000
B166	terminal	5	4	4	100.0000000000	0.0000000000
B167	terminal	5	4	4	100.0000000000	0.0000000000
B168	terminal	5	4	4	100.0000000000	0.0000000000
B169	terminal	5	5	5	100.0000000000	0.0000000000
B170	terminal	5	4	4	100.0000000000	0.0000000000
B171	terminal	5	4	4	100.0000000000	0.0000000000
B172	terminal	5	5	5	100.0000000000	0.0000000000
B173	terminal	5	5	5	100.0000000000	0.0000000000
B174	terminal	5	5	5	100.0000000000	0.0000000000
B175	terminal	5	5	5	100.0000000000	0.0000000000
B176	terminal	5	5	5	100.0000000000	0.0000000000
B177	terminal	5	5	5	100.0000000000	0.0000000000
B178	terminal	5	5	5	100.0000000000	0.0000000000
B179	terminal	5	5	5	100.0000000000	0.0000000000
B180	terminal	5	5	5	100.0000000000	0.0000000000
B181	terminal	5	5	5	100.0000000000	0.0000000000
B182	terminal	5	5	5	100.0000000000	0.0000000000
B183	terminal	5	5	5	100.0000000000	0.0000000000
B184	terminal	5	4	4	100.0000000000	0.0000000000
B185	terminal	5	5	5	100.0000000000	0.0000000000
B186	terminal	5	5	5	100.0000000000	0.0000000000
B187	terminal	5	5	5	100.0000000000	0.0000000000
B188	terminal	5	5	5	100.0000000000	0.0000000000
B189	terminal	5	3	3	100.0000000000	0.0000000000
B190	terminal	5	5	5	100.0000000000	0.0000000000
B191	terminal	5	5	5	100.0000000000	0.0000000000
B192	terminal	5	5	5	100.0000000000	0.0000000000
B193	terminal	5	5	5	100.0000000000	0.0000000000
B194	terminal	5	5	5	100.0000000000	0.0000000000
B195	terminal	5	5	5	100.0000000000	0.0000000000
B196	terminal	5	5	5	100.0000000000	0.0000000000
B197	terminal	5	5	5	100.0000000000	0.0000000000
B198	terminal	5	5	5	100.0000000000	0.0000000000
B199	terminal	5	5	5	100.0000000000	0.0000000000
B200	terminal	5	5	5	100.0000000000	0.0000000000
B201	terminal	5	5	5	100.0000000000	0.0000000000
B202	terminal	5	5	5	100.0000000000	0.0000000000
B203	terminal	5	5	5	100.0000000000	0.0000000000
B204	terminal	5	5	5	100.0000000000	0.0000000000
B205	terminal	5	5	5	100.0000000000	0.0000000000
B206	terminal	5	4	4	100.0000000000	0.0000000000
B207	terminal	5	4	4	100.0000000000	0.0000000000
B208	terminal	5	5	5	100.0000000000	0.0000000000
B209	terminal	5	5	5	100.0000000000	0.0000000000
B210	terminal	5	5	5	100.0000000000	0.0000000000
B211	terminal	5	5	5	100.0000000000	0.0000000000
B212	terminal	5	5	5	100.0000000000	0.0000000000
B213	terminal	5	5	5	100.0000000000	0.0000000000
B214	terminal	5	5	5	100.0000000000	0.0000000000
B215	terminal	5	5	5	100.0000000000	0.0000000000
B216	terminal	5	5	5	100.0000000000	0.0000000000
B217	terminal	5	4	4	100.0000000000	0.0000000000
B218	terminal	5	4	4	100.0000000000	0.0000000000
B219	terminal	5	5	5	100.0000000000	0.0000000000
B220	terminal	5	5	5	100.0000000000	0.0000000000
B221	terminal	5	5	5	100.0000000000	0.0000000000
B222	terminal	5	5	5	100.0000000000	0.0000000000
B223	terminal	5	5	5	100.0000000000	0.0000000000
B224	terminal	5	5	5	100.0000000000	0.0000000000
B225	terminal	5	5	5	100.0000000000	0.0000000000
B226	terminal	5	5	5	100.0000000000	0.0000000000
B227	terminal	5	5	5	100.0000000000	0.0000000000
B228	terminal	5	5	5	100.0000000000	0.0000000000
B229	terminal	5	5	5	100.0000000000	0.0000000000
B230	terminal	5	5	5	100.0000000000	0.0000000000
B231	terminal	5	5	5	100.0000000000	0.0000000000
B232	terminal	5	5	5	100.0000000000	0.0000000000
B233	terminal	5	5	5	100.0000000000	0.0000000000
B234	terminal	5	4	4	100.0000000000	0.0000000000
B235	terminal	5	4	4	100.0000000000	0.0000000000
B236	terminal	5	5	5	100.0000000000	0.0000000000
B237	terminal	5	5	5	100.0000000000	0.0000000000
B238	terminal	5	5	5	100.0000000000	0.0000000000
B239	terminal	5	5	5	100.0000000000	0.0000000000
B240	terminal	5	5	5	100.0000000000	0.0000000000
B241	terminal	5	4	4	100.0000000000	0.0000000000
B242	terminal	5	4	4	100.0000000000	0.0000000000
B243	terminal	5	4	4	100.0000000000	0.0000000000
B244	terminal	5	4	4	100.0000000000	0.0000000000
B245	terminal	5	4	4	100.0000000000	0.0000000000
B246	terminal	5	4	4	100.0000000000	0.0000000000
B247	terminal	5	4	4	100.0000000000	0.0000000000
B248	terminal	5	4	4	100.0000000000	0.0000000000
B249	terminal	5	5	5	100.0000000000	0.0000000000
B250	terminal	5	5	5	100.0000000000	0.0000000000
B251	terminal	5	3	3	100.0000000000	0.0000000000
B252	terminal	5	3	3	100.0000000000	0.0000000000
B253	terminal	5	4	4	100.0000000000	0.0000000000
B254	terminal	5	4	4	100.0000000000	0.0000000000
B255	terminal	5	5	5	100.0000000000	0.0000000000
B256	terminal	5	5	5	100.0000000000	0.0000000000
B257	terminal	5	5	5	100.0000000000	0.0000000000
B258	terminal	5	5	5	100.0000000000	0.0000000000
B259	terminal	5	5	5	100.0000000000	0.0000000000
B260	terminal	5	5	5	100.0000000000	0.0000000000
B261	terminal	5	5	5	100.0000000000	0.0000000000
B262	terminal	5	5	5	100.0000000000	0.0000000000
B263	terminal	5	4	4	100.0000000000	0.0000000000
B264	terminal	5	5	5	100.0000000000	0.0000000000
B265	terminal	5	5	5	100.0000000000	0.0000000000
B266	terminal	5	5	5	100.0000000000	0.0000000000
B267	terminal	5	5	5	100.0000000000	0.0000000000
B268	terminal	5	5	5	100.0000000000	0.0000000000
B269	terminal	5	5	5	100.0000000000	0.0000000000
B270	terminal	5	5	5	100.0000000000	0.0000000000
B271	terminal	5	5	5	100.0000000000	0.0000000000
B272	terminal	5	5	5	100.0000000000	0.0000000000
B273	terminal	5	4	4	100.0000000000	0.0000000000
B274	terminal	5	4	4	100.0000000000	0.0000000000
B275	terminal	5	5	5	100.0000000000	0.0000000000
B276	terminal	5	4	4	100.0000000000	0.0000000000
B277	terminal	5	5	5	100.0000000000	0.0000000000
B278	terminal	5	5	5	100.0000000000	0.0000000000
B279	terminal	5	5	5	100.0000000000	0.0000000000
B280	terminal	5	5	5	100.0000000000	0.0000000000
B281	terminal	5	5	5	100.0000000000	0.0000000000
B282	terminal	5	4	4	100.0000000000	0.0000000000
B283	terminal	5	4	4	100.0000000000	0.0000000000
B284	terminal	5	5	5	100.0000000000	0.0000000000
B285	terminal	5	5	5	100.0000000000	0.0000000000
B286	terminal	5	4	4	100.0000000000	0.0000000000
B287	terminal	5	4	4	100.0000000000	0.0000000000
B288	terminal	5	4	4	100.0000000000	0.0000000000
B289	terminal	5	4	4	100.0000000000	0.0000000000
B290	terminal	5	4	4	100.0000000000	0.0000000000
B291	terminal	5	4	4	100.0000000000	0.0000000000
B292	terminal	5	4	4	100.0000000000	0.0000000000
B293	terminal	5	5	5	100.0000000000	0.0000000000
B294	terminal	5	5	5	100.0000000000	0.0000000000
B295	terminal	5	5	5	100.0000000000	0.0000000000
B296	terminal	5	5	5	100.0000000000	0.0000000000
B297	terminal	5	5	5	100.0000000000	0.0000000000
B298	terminal	5	5	5	100.0000000000	0.0000000000
B299	terminal	5	5	5	100.0000000000	0.0000000000
B300	terminal	5	4	4	100.0000000000	0.0000000000
B301	terminal	5	5	5	100.0000000000	0.0000000000
B302	terminal	5	5	5	100.0000000000	0.0000000000
B303	internal	5	3	3	100.0000000000	0.0000000000
B304	internal	5	4	2	50.0000000000	50.0000000000
B305	internal	5	5	5	100.0000000000	0.0000000000
B306	internal	5	5	3	60.0000000000	40.0000000000
B307	internal	5	5	3	60.0000000000	40.0000000000
B308	internal	5	5	3	60.0000000000	40.0000000000
B309	internal	5	4	4	100.0000000000	0.0000000000
B310	internal	5	3	3	100.0000000000	0.0000000000
B311	internal	5	5	2	40.0000000000	60.0000000000
B312	internal	5	1	1	100.0000000000	0.0000000000
B313	internal	5	5	5	100.0000000000	0.0000000000
