branch_id	sub_tree	type	note
B1	Dasypus_novemcinctus	terminal	
B2	Myrmecophaga_tridactyla	terminal	
B3	Choloepus_didactylus	terminal	
B4	Choloepus_hoffmanni	terminal	
B5	Orycteropus_afer_afer	terminal	
B6	Elephantulus_edwardii	terminal	
B7	Chrysochloris_asiatica	terminal	
B8	Echinops_telfairi	terminal	
B9	Loxodonta_africana	terminal	
B10	Elephas_maximus	terminal	
B11	Procavia_capensis	terminal	
B12	Heterohyrax_brucei	terminal	
B13	Trichechus_manatus_latirostris	terminal	
B14	Dugong_dugon	terminal	
B15	Hydrodamalis_gigas	terminal	
B16	Tupaia_chinensis	terminal	
B17	Ochotona_princeps	terminal	
B18	Lepus_timidus	terminal	
B19	Oryctolagus_cuniculus_cuniculus	terminal	
B20	Sylvilagus_bachmani	terminal	
B21	Glis_glis	terminal	
B22	Muscardinus_avellanarius	terminal	
B23	Aplodontia_rufa	terminal	
B24	Sciurus_vulgaris	terminal	
B25	Xerus_inauris	terminal	
B26	Marmota_monax	terminal	
B27	Urocitellus_parryii	terminal	
B28	Cynomys_gunnisoni	terminal	
B29	Ictidomys_tridecemlineatus	terminal	
B30	Ctenodactylus_gundi	terminal	
B31	Hystrix_cristata	terminal	
B32	Heterocephalus_glaber	terminal	
B33	Petromus_typicus	terminal	
B34	Thryonomys_swinderianus	terminal	
B35	Chinchilla_lanigera	terminal	
B36	Dinomys_branickii	terminal	
B37	Myocastor_coypus	terminal	
B38	Ctenomys_sociabilis	terminal	
B39	Octodon_degus	terminal	
B40	Coendou_prehensilis	terminal	
B41	Erethizon_dorsatum	terminal	
B42	Dasyprocta_punctata	terminal	
B43	Cavia_tschudii	terminal	
B44	Hydrochoerus_hydrochaeris	terminal	
B45	Dolichotis_patagonum	terminal	
B46	Castor_canadensis	terminal	
B47	Dipodomys_ordii	terminal	
B48	Pedetes_capensis	terminal	
B49	Allactaga_bullata	terminal	
B50	Jaculus_jaculus	terminal	
B51	Nannospalax_galili	terminal	
B52	Rhizomys_pruinosus	terminal	
B53	Cricetomys_gambianus	terminal	
B54	Sigmodon_hispidus	terminal	
B55	Onychomys_torridus	terminal	
B56	Peromyscus_californicus_insignis	terminal	
B57	Cricetulus_griseus	terminal	
B58	Mesocricetus_auratus	terminal	
B59	Ondatra_zibethicus	terminal	
B60	Myodes_glareolus	terminal	
B61	Microtus_agrestis	terminal	
B62	Arvicola_amphibius	terminal	
B63	Uromys_caudimaculatus	terminal	
B64	Mastomys_coucha	terminal	
B65	Mus_caroli	terminal	
B66	Arvicanthis_niloticus	terminal	
B67	Grammomys_surdaster	terminal	
B68	Acomys_russatus	terminal	
B69	Pachyuromys_duprasi	terminal	
B70	Psammomys_obesus	terminal	
B71	Rhombomys_opimus	terminal	
B72	Meriones_unguiculatus	terminal	
B73	Galeopterus_variegatus	terminal	
B74	Nycticebus_coucang	terminal	
B75	Otolemur_garnettii	terminal	
B76	Daubentonia_madagascariensis	terminal	
B77	Eulemur_flavifrons	terminal	
B78	Lemur_catta	terminal	
B79	Prolemur_simus	terminal	
B80	Indri_indri	terminal	
B81	Propithecus_coquereli	terminal	
B82	Microcebus_murinus	terminal	
B83	Mirza_coquereli	terminal	
B84	Carlito_syrichta	terminal	
B85	Pithecia_pithecia	terminal	
B86	Plecturocebus_donacophilus	terminal	
B87	Alouatta_palliata	terminal	
B88	Ateles_geoffroyi	terminal	
